"Myles Grant","About","about","This is an example of a WordPress page, you could edit this to put information about yourself or your site so readers know where you are coming from. You can create as many pages like this one or sub-pages as you like and manage all of your content inside of WordPress.","2008-02-09 10:18:28","2008-02-09 10:18:28"
"Myles Grant","Manna, a story about our robotic future","manna_a_story_about_our_robotic_future","<a href=""http://marshallbrain.com/manna1.htm"">Manna, a story about our robotic future</a> from the guy behind <a href=""http://www.howstuffworks.com/"">How Stuff Works</a>.  Interesting, if not perfectly written. (<a href=""http://www.metafilter.com/mefi/52549"">via mefi</a>)
","2006-07-02 10:48:23","2006-07-02 10:48:23"
"Myles Grant","Welcome!","welcome","Welcome to mylesgrant.com, and thanks for coming to visit.  Right now this is the only notes item on the site, so I know that the site doesn't look like much right now.  Trust me when I say that quite rapidly this section will become one of the most dominant features of the site.  I plan to update this section almost daily with news about my life, stuff I find interesting, commentary on things that are going on in the world, etc.  In short, just about anything I want.  Make sure to come back often to see what I've put on here.

One of the most powerful features of this site is the <a href=""/comments.php?newsID=1"">comments section</a>.  For every notes item that I post, there's a link to a discussion board of sorts for that item.  There you can respond to something I've said, and/or read what other people have written and respond to that.  You don't need an account to read the comments, but you need one to post.  Just take a few seconds and <a href=""/signup.php"">sign up</a> for one.

Also be sure to visit the <a href=""/contribute/"">contribute</a> section of this site.  In there you can submit <a href=""/contribute/links.php"">links</a> that you think other people should check out, put more <a href=""/contribute/fortunes.php"">quotes</a> in the fortune bin, or send me <a href=""/contribute/other.php"">just about anything else</a> that you'd want... maybe a <a href=""/polls.php?action=showresults&amp;pid=1"">poll</a> idea you had.

So again, thanks for coming.  Poke around, <a href=""/signup.php"">get an account</a>, <a href=""/contribute/"">contribute something</a>, and then <a href=""mailto:crawl@mylesgrant.com"">tell me</a> what you think.  I appreciate it.  See you later.
","2000-09-19 01:07:17","2000-09-19 01:07:17"
"Myles Grant","Today Is A Good Day","today_is_a_good_day","For the first time, I'm finally sure that I'm going to be ok financially for the rest of this semester.  I got it all worked out today, which is a very good thing.  It takes a big load off of my shoulders.  Whew!

Also, I'm going to go see <a href=""http://www.johnnysocko.com/"">Johnny Socko</a> w/ <a href=""http://www.jackfriday.com/"">Jack Friday</a> at First Run tonight.  I'm psyched.  Should be a great show.  Expect a short review <i>manana</i>.
","2000-09-20 15:38:08","2000-09-20 15:38:08"
"Myles Grant","Geeking For the Gold","geeking_for_the_gold","Several of my ex-swimming friends and I have been chatting about how watching all these people we know win medals in Sydney is taking us back to when we used to swim ourselves.  True, it's very exciting to watch <a href=""http://www.olympics.com/eng/athletes/USA/0211245/home.html"">someone I went to high school with and swam with</a> win a medal, but personally, I think that <a href=""http://www.itolympics.org/"">these games</a> would be much more exciting to watch.  I probably know a lot of people that could do pretty well in these events too.  I'm actually kinda proud of that, too.
","2000-09-20 19:20:01","2000-09-20 19:20:01"
"Myles Grant","Jack Friday and Johnny Socko","jack_friday_and_johnny_socko","As I mentioned yesterday, I went and saw <a href=""http://www.jackfriday.com/"">Jack Friday</a> and <a href=""http://www.johnnysocko.com/"">Johnny Socko</a> last night.  Ended up being a great show.  It was a Wednesday night in Oxford, so there were only like 30-40 people there to see the show, and about a third of those were me and my friends.

Jack Friday played for about an hour.  They seemed a little off, probably because of the lack of attendance.  They were also complaining about the mix... couldn't hear the vocals enough, apparently.  Regardless, we still did a lot of dancing.  In fact, by the time they were done playing, I was so exhausted and sweaty that I almost just wanted to go home.  We decided to stick around for a little and check out Johnny Socko, though, and I'm really glad we did.

Johnny Socko was just incredible.  They too were disappointed in the lack of turnout, but that didn't stop them from having a good time.  They tried to get the crowd involved with a dance contest (sort of) and some of those ""get the crowd to sing the lyrics back to you"" things.  My favorite songs that they played while we were there were: ""Rocks In My Head"", a great high-energy jam, and ""Old School Master"", a rap tribute to old-school video games.  Best part of ""Old School Master"" is when they play the old Mario theme.  Oh, and ""When I say 'Donkey', you say, 'Kong!'  'Donkey!'  'Kong!'  'Donkey!'  'Kong!'""  Favorite member of Socko?  <a href=""http://www.johnnysocko.com/demian.htm"">Demian</a>.  That's a hell of a fro there, buddy.

So, anyway, after listening to them for about an hour, all of us were too damned tired to dance anymore, so we left.  We went back to the porch at Game On, which is the house where Erin and everyone else who came to the show with us lives.  <a href=""http://www.jackfriday.com/mattbioframe.htm"">Matt</a>, the guitarist from Jack Friday, came over too and he and I chatted about stuff for a while.  All in all a very good night.  Thanks to both bands for a great show.  Hope to see you all again soon.
","2000-09-21 14:52:44","2000-09-21 14:52:44"
"Myles Grant","NBC's Olympic Coverage Gets Snubbed","nbcs_olympic_coverage_gets_snubbed","<a href=""http://www.wirednews.com/news/culture/0,1284,38849,00.html"">This article</a> talks about how the viewership for NBC's coverage of the Olympics this year is the lowest it has ever been, partly because of the fact that you can get the results off the internet faster than you can get them from NBC.  I'd have to agree at least partly with that, but I also think that NBC's coverage just mostly stinks this year.  I mean, Klete Keller got bronze in the 400m freestyle, and he won it by only one one-hundreth of a second.  He also came up from dead last with a hundred to go to get third.  After looking at the results <a href=""http://www.olympics.com/"">online</a>, it looked like it would be a great race to watch.  Much to my disappointment, however, NBC didn't even show him finish!  Worse still, they barely even mentioned the fact that he got bronze.  It was an incredible swim, an incredible finish, and NBC really dropped the ball on that one.  They'll be getting an angry letter from me, and I suggest that you write one if you didn't like the coverage either.
","2000-09-22 09:36:02","2000-09-22 09:36:02"
"Myles Grant","You Mean That Wasn't On Purpose?","you_mean_that_wasnt_on_purpose","Read the second headline in <a href=""/images/nobushforelton.gif"">this picture</a> from <a href=""http://www.hollywood.com/"">hollywood.com</a> and as soon as you stop laughing, write a thank you letter to them for making my day. (Via <a href=""http://www.kottke.org/"">kottke.org</a>)
","2000-09-22 09:40:45","2000-09-22 09:40:45"
"Myles Grant","Big Brother in Oxford and My Sister","big_brother_in_oxford_and_my_sister","So not much news from the weekend.  Went to a <a href=""http://www.kappadelta.org/"">Kappa Delta</a> date party at <a href=""http://www.thestadiumbar.com/"">Stadium</a> Saturday night with <a href=""/about/myfriends.php#erin"">Erin</a> that was pretty cool.  Saw that they now have cameras in the ceiling that can rotate around and stuff.  Intended to curb the underage drinking, I suppose.  It was a little weird, though.  The damn thing was rotating around all night, looking for stuff.  It was a little distracting.

I changed the font size on this page, partly to make the titles stand out more, and partly because I have been writing more per notes item than I had originally planned, and I want more to fit per page.  Also, I added 2 new pics of my sister, <a href=""/about/myfriends.php#jeanette"">Jeanette</a>, to the '<a href=""/about/myfriends.php"">about friends</a>' page.
","2000-09-24 22:55:33","2000-09-24 22:55:33"
"Myles Grant","On Conspicuous Cell Phone Use","on_conspicuous_cell_phone_use","I love cell phones.  I think they're great and I truly wish that I had one.  However, I can't stand people who talk on them or leave their ringer on in restaurants, movies, class, presentations, etc.  Therefore, I agree at least partly with what <a href=""http://www.phonebashing.com/"">these guys are doing</a>.  At the very least, I think it's funny.
","2000-09-24 23:48:58","2000-09-24 23:48:58"
